// Contiene le regole utilizzate da Sequenze per compilare il file;;;;;;;;;;;;
// ayv.txt che verrà poi usato per chiamare il plug-in adatto;;;;;;;;;;;;
// ad elaborare una determinata immagine;;;;;;;;;;;;
// al posto del punto e virgola metto il carattere §;;;;;;;;;;;;
// N.B. si hanno 4 directions vup verticale a crescere, vdw vertivale a scendere ;;;;;;;;;;;;
// hsx orizz. verso sx, hdx orizz. verso dx                  ;;;;;;;;;;;;
// CODICE;COMMENTO;DA PASSARE;TOTALI;IMAORDER;IMA_INCR;SPARE_1;SPARE_2;SPARE_3;COIL;DIRECTION;DEPTH;PLUGIN
//SIEMENS SIMPHONY +  AVANTO;;;;;;;;;;;;
// BODY;;;;;;;;;;;;
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;H22;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;H23;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;H24;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;H31;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;H32;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;H33;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;H34;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;H41;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;H42;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;H43;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;H44;x;30;p10rmn_
TEST1;Uniformità Assiale Head;4;4;0;0;777;888;999;HE1-4;x;30;p12rmn_
//;;;;;;;;;;;;
//;;;;;;;;;;;;
//;;;;;;;;;;;;
//;;;;;;;;;;;;
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H11;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H12;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H13;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H14;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H21;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H22;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H23;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H24;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H31;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H32;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H33;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H34;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H41;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H42;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H43;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;H44;x;30;p10rmn_
HUSAA;Uniformità Assiale Head;2;2;0;0;777;888;999;HE1-4;x;30;p12rmn_
//;;;;;;;;;;;;
HUSSA;Uniformità Sagittale Head;2;2;0;0;777;888;999;H11;x;30;p10rmn_
HUSSA;Uniformità Sagittale Head;2;2;0;0;777;888;999;H12;x;30;p10rmn_
HUSSA;Uniformità Sagittale Head;2;2;0;0;777;888;999;H13;x;30;p10rmn_
HUSSA;Uniformità Sagittale Head;2;2;0;0;777;888;999;H14;x;30;p10rmn_
HUSSA;Uniformità Sagittale Head;2;2;0;0;777;888;999;H21;x;30;p10rmn_
HUSSA;Uniformità Sagittale Head;2;2;0;0;777;888;999;H22;x;30;p10rmn_
HUSSA;Uniformità Sagittale Head;2;2;0;0;777;888;999;H23;x;30;p10rmn_
HUSSA;Uniformità Sagittale Head;2;2;0;0;777;888;999;H24;x;30;p10rmn_
HUSSA;Uniformità Sagittale Head;2;2;0;0;777;888;999;H31;x;30;p10rmn_
HUSSA;Uniformità Sagittale Head;2;2;0;0;777;888;999;H32;x;30;p10rmn_
HUSSA;Uniformità Sagittale Head;2;2;0;0;777;888;999;H33;x;30;p10rmn_
