BUSA_, 2, 2, 0, xxx, x, x,  p3rmn_
BUSS_, 2, 2, 0, xxx,  x, x, p3rmn_
BUSC_, 2, 2, 0, xxx,  x, x, p3rmn_
BDSA_, 1, 1, 0, xxx,  x, x, p8rmn_
BDMA_, 1, 3, 0, xxx,  x, x, p8rmn_
BTLX_, 0, 0, 0, xxx,  x, x, none_
BT2A_, 1, 1, 0, xxx,  x, x, p6rmn_
BT5A_, 1, 1, 0, xxx,  x, x, p6rmn_
BTMA_, 15, 15, 0, xxx,  x, x,p6rmn_
BRKA_, 1, 1, 0, xxx,  x, x, p4rmn_
HT2A_, 1, 1, 0, xxx,  x, x, p6rmn_
T2MA_, 20, 20, 0, xxx, x, x, p2rmn_
