0,  0.0,  896.0042558149858,  
1,  1.0,  889.524658203125,  
2,  2.0,  881.1027998490767,  
3,  3.0,  870.5589932528409,  
4,  4.0,  871.339882590554,  
5,  5.0,  867.1840320933949,  
6,  6.0,  855.62646484375,  
7,  7.0,  851.3697010387074,  
8,  8.0,  845.3333629261364,  
9,  9.0,  839.5980058149858,  
10,  10.0,  836.6577203924006,  
11,  11.0,  833.6014737215909,  
12,  12.0,  825.8818026455966,  
13,  13.0,  816.3329523259944,  
14,  14.0,  812.509316184304,  
15,  15.0,  814.5884288441051,  
16,  16.0,  807.1990245472301,  
17,  17.0,  801.950888893821,  
18,  18.0,  791.0755948153409,  
19,  19.0,  792.8897927024148,  
20,  20.0,  790.4099343039773,  
21,  21.0,  781.6807195490056,  
22,  22.0,  776.209999778054,  
23,  23.0,  771.2769608931108,  
24,  24.0,  768.1852527965199,  
25,  25.0,  763.5628495649858,  
26,  26.0,  758.2626453746449,  
27,  27.0,  752.1114834872159,  
28,  28.0,  750.4723843661221,  
29,  29.0,  746.6415849165483,  
30,  30.0,  748.0691583806819,  
31,  31.0,  748.0618286132812,  
32,  32.0,  744.5583773526279,  
33,  33.0,  734.0708507191051,  
34,  34.0,  736.8648348721591,  
35,  35.0,  732.7405118075284,  
36,  36.0,  721.1357643821023,  
37,  37.0,  698.907148881392,  
38,  38.0,  672.987715287642,  
39,  39.0,  631.2692704634233,  
40,  40.0,  587.6273304332386,  
41,  41.0,  542.0602195046165,  
42,  42.0,  484.47536676580256,  
43,  43.0,  428.9264304421165,  
44,  44.0,  381.14788818359375,  
45,  45.0,  331.7115117853338,  
46,  46.0,  275.3467268510298,  
47,  47.0,  218.66489479758522,  
48,  48.0,  174.87373906915838,  
49,  49.0,  123.34776444868608,  
50,  50.0,  99.19961894642223,  
51,  51.0,  89.28093580766158,  
52,  52.0,  105.44580286199397,  
53,  53.0,  129.7089018388228,  
54,  54.0,  172.27358870072797,  
55,  55.0,  222.9152402010831,  
56,  56.0,  271.096699107777,  
57,  57.0,  322.57911543412644,  
58,  58.0,  369.9620083895597,  
59,  59.0,  420.1161277077415,  
60,  60.0,  470.3561068448153,  
61,  61.0,  523.4725369540128,  
62,  62.0,  575.473593971946,  
63,  63.0,  607.2480413263494,  
64,  64.0,  648.2067316228694,  
65,  65.0,  664.2519198330966,  
66,  66.0,  686.2736483487216,  
67,  67.0,  691.0069912997159,  
68,  68.0,  701.1247669566761,  
69,  69.0,  700.6460182883523,  
70,  70.0,  705.7886851917614,  
71,  71.0,  701.1910955255681,  
72,  72.0,  699.8921619762074,  
73,  73.0,  698.0210238370029,  
74,  74.0,  695.0422141335227,  
75,  75.0,  708.5366821289062,  
76,  76.0,  705.6642844460227,  
77,  77.0,  696.9914217862216,  
78,  78.0,  705.892861106179,  
79,  79.0,  704.4702980735085,  
80,  80.0,  707.4729114879261,  
81,  81.0,  703.3321366743608,  
82,  82.0,  711.7368053089489,  
83,  83.0,  711.5799727006392,  
84,  84.0,  716.5989823774858,  
85,  85.0,  713.7409168590199,  
86,  86.0,  712.741172096946,  
87,  87.0,  721.3853870738636,  
88,  88.0,  714.4976640181108,  
89,  89.0,  720.8873013583096,  
90,  90.0,  722.6404918323864,  
91,  91.0,  718.3738125887784,  
92,  92.0,  722.9286443536931,  
93,  93.0,  725.708418412642,  
94,  94.0,  732.7039517489346,  
95,  95.0,  730.0865312056108,  
96,  96.0,  735.4676513671875,  
97,  97.0,  735.4261807528409,  
98,  98.0,  741.1314530806108,  
99,  99.0,  740.176963112571,  
100,  100.0,  744.6864069158381,  
101,  101.0,  744.093428178267,  
102,  102.0,  752.8039328835227,  
103,  103.0,  750.5797507546165,  
104,  104.0,  756.7848566228694,  
105,  105.0,  757.1185358220881,  
106,  106.0,  765.5987382368608,  
107,  107.0,  766.1789217862216,  
108,  108.0,  770.6411687677556,  
109,  109.0,  765.5463811700994,  
110,  110.0,  781.1881325461648,  
111,  111.0,  786.826493696733,  
112,  112.0,  789.1898859197444,  
113,  113.0,  785.1944635564631,  
114,  114.0,  802.9419999556108,  
115,  115.0,  801.4820168235085,  
116,  116.0,  810.6874445134944,  
117,  117.0,  812.229414506392,  
118,  118.0,  818.847334428267,  
119,  119.0,  822.5881125710227,  
120,  120.0,  832.4801746715199,  
121,  121.0,  827.4419222745029,  
122,  122.0,  834.9028597745029,  
123,  123.0,  841.7533347389915,  
124,  124.0,  852.6392933238636,  
125,  125.0,  854.1572543057529,  
126,  126.0,  864.6610606800426,  
127,  127.0,  867.9751032049006,  
128,  128.0,  880.376298384233,  
129,  129.0,  885.9109829989346,  
130,  130.0,  893.0367764559659,  
